Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Co-applicant_Income,Loan_Amount,Term,Credit_History,Property_Area,Status
LP10025,Male,Yes,0,Not Graduate,No,5814,0,224,360,1,Semiurban,Y
LP10026,Male,Yes,0,Graduate,No,2923,4235,261,360,1,Urban,Y
LP10027,Male,No,1,Graduate,No,4750,0,167,360,0,Semiurban,N
LP10028,Male,Yes,0,Not Graduate,Yes,12686,0,379,360,1,Urban,Y
LP10029,Male,Yes,1,Not Graduate,No,12122,0,461,360,1,Rural,Y
LP10030,Female,Yes,0,Graduate,No,10157,2540,328,360,1,Urban,Y
LP10031,Male,Yes,0,Graduate,No,3563,0,77,360,1,Rural,Y
LP10032,Male,Yes,1,Graduate,No,5806,1923,285,360,1,Urban,Y
LP10033,Male,Yes,0,Graduate,No,3883,2021,166,180,1,Semiurban,Y
LP10034,Female,Yes,0,Graduate,No,4559,0,182,360,1,Rural,Y
LP10035,Male,No,1,Not Graduate,No,4316,0,99,360,1,Rural,Y
LP10036,Male,Yes,2,Graduate,No,6799,4864,270,480,1,Semiurban,Y
LP10037,Male,Yes,0,Graduate,No,11362,0,429,360,1,Urban,Y
LP10038,Male,No,1,Graduate,No,3419,1113,100,360,1,Urban,Y
LP10039,Male,Yes,0,Graduate,No,4231,0,114,360,1,Semiurban,Y
LP10040,Female,Yes,2,Not Graduate,No,3410,0,111,360,1,Semiurban,Y
LP10041,Male,Yes,0,Graduate,No,6497,2525,354,480,0,Semiurban,N
LP10042,Male,No,2,Graduate,No,1956,0,67,180,1,Semiurban,Y
LP10043,Male,No,2,Graduate,No,10388,0,381,360,1,Rural,Y
LP10044,Male,No,2,Graduate,No,7339,0,263,360,0,Semiurban,Y
LP10045,Male,No,2,Graduate,No,3322,0,90,360,1,Rural,Y
LP10046,Male,No,0,Graduate,No,5535,0,183,360,1,Rural,Y
LP10047,Male,Yes,0,Graduate,No,4761,4618,208,360,1,Rural,Y
LP10048,Male,Yes,2,Graduate,No,3202,3177,209,360,0,Rural,N
LP10049,Male,No,1,Graduate,No,3855,0,141,360,1,Rural,Y
LP10050,Female,Yes,0,Graduate,No,4037,3507,185,180,1,Semiurban,Y
LP10051,Male,No,2,Graduate,No,4982,0,177,360,1,Urban,Y
LP10052,Male,Yes,1,Not Graduate,No,8630,0,299,360,1,Semiurban,N
LP10053,Male,Yes,0,Graduate,No,4010,3963,256,360,1,Urban,Y
LP10054,Male,Yes,0,Graduate,No,4439,1437,182,360,0,Urban,N
LP10055,Male,No,0,Graduate,No,2832,0,94,360,1,Semiurban,Y
LP10056,Male,Yes,0,Not Graduate,No,5594,2366,233,180,1,Rural,Y
LP10057,Male,Yes,2,Graduate,No,8429,2668,368,360,1,Semiurban,Y
LP10058,Male,Yes,0,Graduate,No,5112,2743,159,360,1,Semiurban,Y
LP10059,Male,Yes,2,Graduate,No,2060,4117,153,360,1,Semiurban,Y
LP10060,Male,Yes,2,Graduate,No,3059,2545,194,360,1,Semiurban,Y
LP10061,Male,Yes,0,Graduate,No,4815,0,127,360,0,Rural,N
LP10062,Male,No,2,Graduate,No,3950,0,151,360,1,Urban,Y
LP10063,Male,Yes,1,Not Graduate,No,2147,0,67,360,1,Urban,Y
LP10064,Male,No,3+,Graduate,No,3702,0,107,360,1,Rural,Y
LP10065,Male,Yes,3+,Graduate,No,4757,0,166,360,1,Semiurban,Y
LP10066,Male,No,0,Not Graduate,No,10660,0,345,120,1,Semiurban,Y
LP10067,Male,Yes,0,Graduate,No,5288,3571,345,360,1,Semiurban,Y
LP10068,Male,Yes,0,Not Graduate,No,8220,3204,231,360,0,Semiurban,N
LP10069,Male,Yes,1,Graduate,No,2378,0,80,360,1,Urban,Y
LP10070,Male,Yes,2,Graduate,No,3174,2097,195,360,1,Rural,Y
LP10071,Male,No,1,Graduate,No,5913,1942,266,360,1,Urban,Y
LP10072,Male,No,1,Graduate,No,6573,1248,233,360,1,Urban,Y
LP10073,Male,Yes,0,Graduate,No,4738,0,127,360,1,Urban,Y
LP10074,Male,Yes,0,Not Graduate,No,3178,0,64,360,0,Semiurban,N
LP10075,Male,Yes,0,Graduate,No,6375,2188,201,360,1,Semiurban,Y
LP10076,Male,Yes,0,Graduate,Yes,5847,1895,291,360,1,Rural,Y
LP10077,Female,Yes,1,Graduate,No,4033,2114,128,360,1,Rural,Y
LP10078,Male,No,1,Graduate,Yes,2247,3282,118,240,0,Urban,N
LP10079,Female,No,2,Not Graduate,No,5770,3625,213,180,1,Semiurban,Y
LP10080,Male,Yes,0,Graduate,No,5090,0,190,360,1,Semiurban,Y
LP10081,Male,Yes,0,Graduate,Yes,6673,0,205,180,1,Urban,Y
LP10082,Female,Yes,2,Graduate,No,5718,0,199,360,1,Urban,Y
LP10083,Male,No,1,Graduate,No,5493,0,179,360,1,Urban,Y
LP10084,Male,No,1,Graduate,No,9361,3942,482,360,1,Rural,Y
LP10085,Male,No,0,Graduate,No,2694,0,55,180,1,Rural,Y
LP10086,Male,Yes,2,Graduate,No,6263,2849,339,360,1,Semiurban,Y
LP10087,Male,No,2,Graduate,No,4837,0,168,480,1,Urban,Y
LP10088,Male,Yes,0,Graduate,No,2903,0,74,360,1,Semiurban,Y
LP10089,Female,Yes,0,Graduate,No,5551,0,163,360,1,Semiurban,Y
LP10090,Male,Yes,2,Graduate,No,11569,1522,501,360,0,Urban,N
LP10091,Male,No,0,Graduate,No,9719,0,297,360,1,Semiurban,Y
LP10092,Male,Yes,0,Not Graduate,No,3826,3952,183,360,1,Rural,Y
LP10093,Male,No,1,Graduate,No,6163,1315,297,360,1,Rural,Y
LP10094,Male,No,2,Graduate,No,16379,0,513,180,1,Urban,Y
LP10095,Male,No,0,Graduate,Yes,2109,2934,162,360,0,Semiurban,N
LP10096,Female,Yes,2,Graduate,No,8722,1746,412,360,1,Rural,N
LP10097,Male,Yes,2,Not Graduate,No,5672,0,167,360,1,Semiurban,Y
LP10098,Male,Yes,0,Graduate,No,4063,0,105,360,1,Semiurban,Y
LP10099,Male,No,0,Graduate,No,7023,0,182,360,1,Rural,Y
LP10100,Male,Yes,0,Graduate,No,4147,0,129,360,1,Semiurban,Y
LP10101,Male,Yes,0,Graduate,No,2871,0,104,240,1,Rural,N
LP10102,Female,Yes,1,Graduate,No,4628,0,127,240,0,Semiurban,N
LP10103,Male,Yes,0,Graduate,Yes,5119,4511,341,360,1,Rural,Y
LP10104,Male,No,0,Not Graduate,No,4932,0,110,360,1,Urban,Y
LP10105,Male,Yes,2,Not Graduate,No,3170,3052,151,360,1,Semiurban,Y
LP10106,Male,No,0,Graduate,No,1592,0,55,240,1,Rural,N
LP10107,Male,Yes,2,Graduate,No,8749,0,212,360,1,Rural,Y
LP10108,Male,No,0,Not Graduate,No,4821,0,141,360,1,Urban,Y
LP10109,Male,Yes,0,Graduate,No,5415,0,162,360,1,Rural,Y
LP10110,Male,No,0,Graduate,No,3510,0,135,360,1,Urban,Y
LP10111,Female,Yes,2,Graduate,No,6231,1067,283,360,1,Semiurban,Y
LP10112,Male,Yes,0,Graduate,Yes,8565,4928,327,360,1,Rural,N
LP10113,Male,No,2,Not Graduate,No,7265,0,281,360,1,Semiurban,Y
LP10114,Female,Yes,1,Graduate,No,3573,0,89,360,0,Rural,N
LP10115,Female,Yes,2,Not Graduate,No,2923,4591,183,360,1,Urban,Y
LP10116,Female,Yes,1,Graduate,No,4163,0,96,360,1,Semiurban,Y
LP10117,Male,No,0,Graduate,No,6836,0,220,480,1,Rural,Y
LP10118,Male,Yes,0,Graduate,No,3532,4388,250,360,1,Urban,Y
LP10119,Female,No,2,Graduate,Yes,5045,0,136,360,0,Rural,Y
LP10120,Male,Yes,2,Graduate,No,7268,0,160,360,1,Rural,Y
LP10121,Male,Yes,2,Not Graduate,No,1790,0,70,360,0,Urban,N
LP10122,Male,Yes,1,Graduate,Yes,8748,2804,363,360,1,Semiurban,Y
LP10123,Male,Yes,0,Graduate,No,6048,0,151,360,0,Urban,N
LP10124,Male,Yes,0,Graduate,Yes,3041,0,92,360,1,Rural,Y
LP10125,Male,Yes,3+,Graduate,No,3378,0,69,360,1,Urban,Y
LP10126,Male,Yes,2,Not Graduate,No,7947,1902,276,360,1,Rural,Y
LP10127,Female,Yes,0,Not Graduate,No,6001,3766,226,360,1,Rural,Y
LP10128,Male,No,0,Graduate,Yes,3136,4346,250,360,1,Semiurban,Y
LP10129,Male,Yes,0,Graduate,No,4003,0,148,360,1,Urban,N
LP10130,Male,No,2,Graduate,No,3326,3659,197,360,1,Urban,Y
LP10131,Female,Yes,2,Not Graduate,No,4124,0,110,360,1,Urban,N
LP10132,Female,Yes,3+,Graduate,No,9288,0,273,360,1,Rural,Y
LP10133,Male,Yes,2,Not Graduate,No,7284,4845,374,360,1,Urban,Y
LP10134,Male,No,2,Graduate,No,6099,0,152,360,1,Semiurban,Y
LP10135,Male,Yes,1,Not Graduate,No,4855,0,126,360,1,Semiurban,Y
LP10136,Male,No,2,Graduate,Yes,4982,2767,255,360,1,Urban,Y
LP10137,Female,No,0,Graduate,Yes,4715,4156,292,360,1,Rural,N
LP10138,Male,No,1,Graduate,No,4056,1146,104,360,1,Semiurban,Y
LP10139,Male,Yes,0,Graduate,No,3411,0,129,120,1,Rural,Y
LP10140,Male,Yes,0,Graduate,No,5742,2299,286,360,0,Urban,N
LP10141,Male,Yes,2,Not Graduate,Yes,5532,0,148,480,0,Urban,N
LP10142,Female,Yes,2,Graduate,No,4716,3977,346,120,1,Rural,Y
LP10143,Male,No,1,Graduate,No,10779,0,264,360,1,Urban,Y
LP10144,Male,Yes,1,Graduate,No,5985,0,237,360,1,Rural,Y
LP10145,Female,Yes,0,Not Graduate,No,2672,0,96,180,1,Urban,Y
LP10146,Male,No,1,Graduate,No,3602,0,77,360,1,Rural,Y
LP10147,Male,Yes,2,Graduate,No,4412,0,90,180,1,Semiurban,N
LP10148,Male,Yes,2,Graduate,No,3235,1113,110,360,1,Semiurban,Y
LP10149,Female,No,0,Not Graduate,Yes,5609,1165,194,480,1,Semiurban,Y
LP10150,Male,Yes,3+,Graduate,Yes,4827,4875,220,360,1,Semiurban,Y
LP10151,Male,Yes,2,Graduate,No,2319,1639,98,360,1,Urban,Y
LP10152,Female,Yes,0,Graduate,No,3592,0,81,180,1,Semiurban,Y
LP10153,Female,Yes,3+,Not Graduate,No,4733,0,174,360,1,Urban,Y
LP10154,Male,Yes,3+,Graduate,No,3926,0,82,360,1,Rural,Y
LP10155,Male,No,0,Graduate,No,6096,0,172,360,1,Urban,Y
LP10156,Female,Yes,1,Not Graduate,No,4200,3789,241,360,0,Urban,N
LP10157,Male,No,2,Graduate,No,4994,0,122,360,1,Urban,Y
LP10158,Female,No,0,Graduate,No,3804,4324,209,360,1,Urban,Y
LP10159,Male,Yes,0,Graduate,No,2961,0,115,360,1,Semiurban,N
LP10160,Male,Yes,0,Graduate,No,4224,0,155,360,1,Urban,Y
LP10161,Male,Yes,2,Graduate,No,7336,4937,473,360,1,Rural,N
LP10162,Male,Yes,0,Not Graduate,No,2803,3034,184,360,0,Semiurban,N
LP10163,Male,Yes,0,Graduate,No,2276,4740,163,360,1,Rural,Y
LP10164,Female,Yes,0,Graduate,No,4150,4806,291,360,1,Rural,Y
LP10165,Male,Yes,1,Graduate,No,3038,0,81,360,1,Rural,Y
LP10166,Male,Yes,0,Graduate,No,3102,0,121,360,1,Urban,N
LP10167,Male,Yes,3+,Graduate,No,2174,0,79,480,0,Semiurban,Y
LP10168,Female,Yes,2,Not Graduate,Yes,1328,3210,164,480,1,Semiurban,Y
LP10169,Male,Yes,0,Graduate,No,5125,2118,230,360,0,Rural,N
LP10170,Male,Yes,1,Graduate,No,4656,1617,222,360,1,Rural,Y
LP10171,Male,Yes,0,Graduate,No,4231,1583,220,360,1,Rural,Y
LP10172,Male,No,0,Graduate,No,4928,0,179,360,1,Semiurban,Y
LP10173,Male,No,2,Graduate,No,3656,2697,197,240,1,Semiurban,Y
LP10174,Male,Yes,2,Graduate,Yes,9138,1481,382,360,1,Semiurban,Y
LP10175,Male,No,1,Graduate,No,6600,0,260,360,1,Urban,Y
LP10176,Male,Yes,1,Graduate,No,6291,0,210,360,1,Urban,Y
LP10177,Female,No,1,Not Graduate,No,6993,0,217,360,1,Urban,Y
LP10178,Female,No,0,Graduate,No,4642,0,170,180,1,Rural,Y
LP10179,Male,Yes,2,Graduate,No,5656,0,219,360,0,Urban,N
LP10180,Female,No,2,Graduate,No,1756,3604,206,180,1,Urban,Y
LP10181,Male,Yes,0,Graduate,No,5444,3879,309,240,1,Rural,Y
LP10182,Male,Yes,3+,Graduate,No,2815,1242,143,360,1,Urban,N
LP10183,Male,No,0,Not Graduate,Yes,3780,0,123,360,1,Semiurban,Y
LP10184,Female,Yes,2,Not Graduate,No,4636,1371,138,360,1,Semiurban,Y
LP10185,Male,Yes,3+,Graduate,No,5873,3064,269,360,1,Semiurban,Y
LP10186,Male,No,0,Not Graduate,No,4623,3633,186,360,1,Semiurban,Y
LP10187,Male,Yes,2,Graduate,Yes,1971,0,44,360,1,Urban,Y
LP10188,Male,Yes,3+,Graduate,Yes,6154,0,231,360,1,Urban,Y
LP10189,Male,No,0,Graduate,No,3491,0,92,360,1,Rural,Y
LP10190,Male,No,2,Graduate,No,9476,0,296,360,1,Semiurban,Y
LP10191,Female,No,0,Graduate,No,3243,0,107,360,1,Semiurban,Y
LP10192,Male,No,0,Graduate,No,1838,1172,93,360,1,Rural,Y
LP10193,Male,Yes,0,Not Graduate,Yes,4022,3988,290,360,1,Urban,Y
LP10194,Male,No,2,Graduate,No,9443,3626,512,360,1,Rural,Y
LP10195,Male,Yes,2,Not Graduate,No,2179,0,52,360,1,Rural,Y
LP10196,Male,Yes,3+,Graduate,No,4506,0,174,360,1,Urban,Y
LP10197,Male,Yes,0,Not Graduate,No,4633,0,168,480,1,Semiurban,N
LP10198,Male,Yes,0,Not Graduate,No,8319,2924,357,360,1,Semiurban,Y
LP10199,Male,No,2,Not Graduate,No,5579,0,147,360,1,Rural,Y
LP10200,Female,No,2,Graduate,Yes,1966,3605,149,360,1,Rural,Y
LP10201,Male,Yes,0,Graduate,No,11211,4358,603,360,1,Rural,Y
LP10202,Male,Yes,0,Graduate,No,1219,2868,106,360,1,Semiurban,Y
LP10203,Male,No,2,Graduate,Yes,3302,1567,171,180,1,Rural,Y
LP10204,Female,No,1,Graduate,No,4400,0,97,360,1,Urban,Y
LP10205,Male,No,0,Graduate,No,3286,3967,162,360,1,Rural,Y
LP10206,Male,Yes,1,Graduate,Yes,7165,1164,302,360,1,Rural,Y
LP10207,Male,Yes,0,Graduate,Yes,4227,2820,256,360,1,Rural,Y
LP10208,Female,Yes,1,Graduate,No,3319,0,103,180,1,Semiurban,Y
LP10209,Female,No,0,Graduate,No,4292,0,115,360,1,Semiurban,Y
LP10210,Male,No,1,Graduate,No,1162,0,32,360,1,Urban,Y
LP10211,Female,Yes,3+,Graduate,No,5023,3373,304,360,1,Rural,Y
LP10212,Male,Yes,2,Graduate,No,7677,0,303,360,1,Semiurban,Y
LP10213,Male,Yes,1,Graduate,No,8349,2305,231,360,1,Semiurban,Y
LP10214,Male,Yes,0,Graduate,No,3861,0,145,360,0,Semiurban,N
LP10215,Male,Yes,0,Graduate,No,1618,4673,225,360,1,Urban,Y
LP10216,Male,No,0,Not Graduate,No,5494,1660,243,360,1,Rural,Y
LP10217,Male,No,0,Not Graduate,No,7422,2974,315,360,1,Rural,Y
LP10218,Male,No,0,Graduate,Yes,3208,3152,151,360,1,Rural,Y
LP10219,Male,No,0,Graduate,No,5618,0,136,360,0,Urban,Y
LP10220,Male,Yes,0,Not Graduate,No,3672,4758,238,360,1,Urban,Y
LP10221,Male,No,0,Graduate,Yes,4013,0,108,360,1,Rural,Y
LP10222,Male,Yes,3+,Graduate,No,4814,1863,158,360,1,Semiurban,Y
LP10223,Male,Yes,3+,Graduate,No,1693,4775,171,360,1,Urban,Y
LP10224,Male,Yes,0,Graduate,No,3603,0,85,360,1,Urban,Y
LP10225,Male,Yes,0,Not Graduate,No,3918,2180,227,360,1,Semiurban,Y
LP10226,Male,Yes,1,Not Graduate,No,2123,0,72,360,1,Semiurban,Y
LP10227,Male,Yes,0,Not Graduate,No,3192,0,107,360,1,Semiurban,Y
LP10228,Male,No,3+,Not Graduate,No,3927,0,99,180,1,Semiurban,Y
LP10229,Male,Yes,0,Graduate,No,4808,1579,128,360,1,Urban,Y
LP10230,Male,Yes,0,Not Graduate,No,5147,0,117,360,1,Semiurban,Y
LP10231,Male,No,0,Not Graduate,No,4323,1414,196,180,1,Rural,Y
LP10232,Male,Yes,0,Graduate,No,3185,4275,279,360,1,Semiurban,Y
LP10233,Male,Yes,2,Not Graduate,No,2803,1024,85,360,1,Urban,Y
LP10234,Male,Yes,1,Not Graduate,Yes,2828,1270,113,360,1,Rural,Y
LP10235,Male,Yes,1,Graduate,No,2822,2698,165,480,1,Rural,Y
LP10236,Female,No,0,Graduate,No,5814,2294,165,180,1,Semiurban,Y
LP10237,Female,No,0,Graduate,Yes,3259,3772,178,360,0,Urban,N
LP10238,Male,No,1,Graduate,Yes,5649,0,200,360,1,Urban,Y
LP10239,Male,Yes,0,Graduate,No,4064,2114,236,360,1,Rural,N
LP10240,Male,Yes,1,Graduate,No,1467,3565,187,360,1,Urban,Y
LP10241,Male,Yes,0,Graduate,No,1500,3108,118,360,1,Rural,Y
LP10242,Male,Yes,1,Not Graduate,No,2215,0,56,360,0,Rural,Y
LP10243,Male,Yes,0,Graduate,No,8172,0,247,360,1,Semiurban,Y
LP10244,Female,Yes,0,Graduate,No,5612,4299,249,180,1,Rural,Y
LP10245,Male,No,1,Graduate,No,4938,1500,160,480,1,Urban,Y
LP10246,Male,Yes,1,Graduate,No,2716,3442,140,360,1,Rural,Y
LP10247,Male,No,2,Graduate,No,4797,4573,200,360,1,Urban,Y
LP10248,Male,Yes,0,Graduate,No,2816,0,61,360,1,Urban,Y
LP10249,Male,No,0,Graduate,No,3722,0,89,360,1,Urban,Y
LP10250,Male,No,1,Graduate,No,2797,0,60,360,1,Urban,Y
LP10251,Male,Yes,1,Not Graduate,Yes,5154,0,106,360,1,Urban,Y
LP10252,Male,Yes,2,Graduate,Yes,3344,0,93,360,1,Urban,Y
LP10253,Male,Yes,0,Graduate,No,3767,0,113,480,1,Urban,Y
LP10254,Male,Yes,1,Graduate,No,4646,4203,283,360,1,Rural,Y
LP10255,Female,No,1,Graduate,No,13764,4580,456,120,1,Urban,Y
LP10256,Male,Yes,3+,Not Graduate,No,5147,0,174,360,1,Rural,N
LP10257,Female,Yes,0,Not Graduate,No,3841,3149,157,360,1,Rural,Y
LP10258,Male,Yes,1,Not Graduate,Yes,2663,0,61,360,1,Semiurban,Y
LP10259,Male,No,1,Graduate,No,1822,3700,220,360,1,Urban,Y
LP10260,Male,No,0,Not Graduate,No,8252,1824,348,360,1,Semiurban,Y
LP10261,Male,Yes,0,Graduate,No,2655,4820,154,360,1,Urban,Y
LP10262,Male,No,1,Graduate,No,7166,0,251,360,1,Rural,Y
LP10263,Male,Yes,3+,Graduate,No,1799,2052,136,360,1,Rural,N
LP10264,Male,Yes,2,Graduate,No,3014,2396,137,360,1,Urban,N
LP10265,Female,Yes,0,Graduate,No,3641,1579,145,360,1,Urban,Y
LP10266,Male,Yes,0,Graduate,Yes,3786,4639,282,360,1,Urban,Y
LP10267,Female,Yes,0,Graduate,No,2963,0,62,360,1,Semiurban,Y
LP10268,Male,Yes,2,Graduate,No,6666,0,148,360,0,Urban,N
LP10269,Male,Yes,0,Graduate,No,6968,3641,352,360,0,Semiurban,N
LP10270,Male,No,2,Graduate,No,1700,3933,115,240,1,Semiurban,Y
LP10271,Male,Yes,3+,Graduate,No,4830,3477,324,180,1,Rural,Y
LP10272,Male,Yes,1,Graduate,No,2834,2781,165,180,1,Semiurban,Y
LP10273,Male,No,0,Not Graduate,No,3657,2700,225,360,1,Urban,N
LP10274,Male,Yes,0,Graduate,No,4836,3190,317,480,1,Semiurban,N
LP10275,Male,No,0,Graduate,No,5718,3920,303,360,1,Semiurban,Y
LP10276,Male,Yes,0,Graduate,No,4257,2693,274,360,1,Rural,Y
LP10277,Male,No,1,Graduate,No,6460,4439,269,360,1,Rural,Y
LP10278,Female,No,3+,Graduate,No,4112,4231,281,180,1,Urban,Y
LP10279,Male,No,1,Graduate,No,7551,0,199,180,1,Urban,Y
LP10280,Male,Yes,0,Graduate,No,9121,0,269,360,0,Urban,N
LP10281,Male,Yes,2,Graduate,No,6507,0,205,120,1,Semiurban,Y
LP10282,Male,No,1,Graduate,No,4545,4055,222,360,1,Rural,N
LP10283,Male,Yes,0,Graduate,No,2590,4426,173,360,1,Semiurban,Y
LP10284,Male,Yes,2,Graduate,No,7228,4317,370,480,1,Urban,Y
LP10285,Female,No,1,Graduate,No,1835,1668,107,360,0,Rural,Y
LP10286,Female,Yes,2,Graduate,No,6909,0,243,360,1,Semiurban,Y
LP10287,Male,Yes,1,Not Graduate,No,5833,3390,235,240,1,Urban,Y
LP10288,Male,No,0,Not Graduate,No,5328,3062,287,360,1,Semiurban,Y
LP10289,Male,Yes,0,Graduate,Yes,2001,3514,147,480,0,Urban,N
LP10290,Male,Yes,1,Not Graduate,No,9802,0,360,360,1,Rural,Y
LP10291,Male,Yes,0,Graduate,No,3828,0,133,240,1,Urban,Y
LP10292,Male,No,0,Graduate,No,4220,0,119,240,0,Urban,N
LP10293,Male,Yes,1,Graduate,No,3324,3920,165,180,1,Rural,Y
LP10294,Female,No,1,Graduate,No,1883,0,64,360,1,Urban,Y
LP10295,Male,No,0,Graduate,No,5286,3258,339,360,1,Urban,Y
LP10296,Female,No,1,Graduate,No,1847,0,59,360,1,Urban,Y
LP10297,Male,Yes,0,Graduate,Yes,7873,0,172,360,1,Rural,Y
LP10298,Male,Yes,0,Not Graduate,Yes,3487,3472,147,360,0,Semiurban,N
LP10299,Female,Yes,0,Graduate,No,5224,0,204,360,1,Urban,Y
LP10300,Female,Yes,0,Graduate,No,6660,2695,317,360,1,Urban,Y
LP10301,Male,Yes,3+,Graduate,No,7745,1672,215,360,1,Urban,N
LP10302,Male,No,3+,Graduate,No,10576,0,416,360,1,Semiurban,Y
LP10303,Male,No,0,Graduate,No,6010,0,135,360,1,Rural,Y
LP10304,Female,No,0,Not Graduate,No,6483,3383,383,240,1,Semiurban,Y
LP10305,Male,Yes,2,Graduate,No,4717,1526,193,360,1,Rural,Y
LP10306,Male,No,3+,Graduate,No,6490,0,161,360,1,Rural,Y
LP10307,Female,Yes,1,Not Graduate,No,4401,2287,192,360,1,Urban,Y
LP10308,Male,No,0,Graduate,No,4238,4920,188,360,1,Semiurban,Y
LP10309,Male,Yes,0,Graduate,No,4559,0,125,360,1,Semiurban,N
LP10310,Male,Yes,0,Graduate,No,2701,0,77,360,1,Rural,Y
LP10311,Male,No,0,Not Graduate,No,2053,4973,145,360,1,Urban,Y
LP10312,Male,No,2,Graduate,No,2840,0,83,360,1,Rural,Y
LP10313,Female,Yes,0,Graduate,No,4056,0,108,360,1,Rural,Y
LP10314,Male,Yes,0,Graduate,No,6695,1553,232,360,1,Urban,Y
LP10315,Male,Yes,0,Graduate,No,2732,3568,229,360,1,Urban,Y
LP10316,Male,Yes,0,Not Graduate,No,4975,4154,185,360,1,Semiurban,Y
LP10317,Male,No,0,Graduate,No,3746,4319,225,180,0,Rural,N
LP10318,Female,No,0,Graduate,No,2555,3485,198,360,1,Urban,Y
LP10319,Male,Yes,2,Graduate,No,2864,0,87,360,1,Rural,Y
LP10320,Male,Yes,0,Graduate,No,3794,1228,125,240,1,Rural,Y
LP10321,Male,No,1,Graduate,Yes,4179,1826,122,120,1,Urban,N
LP10322,Male,Yes,0,Not Graduate,No,6078,2858,275,360,1,Rural,Y
LP10323,Male,No,2,Graduate,Yes,3432,2168,207,360,1,Urban,N
LP10324,Male,Yes,2,Not Graduate,No,7126,0,227,360,0,Semiurban,N
LP10325,Male,No,0,Graduate,No,3605,4520,229,360,1,Semiurban,Y
LP10326,Male,No,0,Graduate,No,5607,0,137,360,0,Rural,N
LP10327,Male,Yes,2,Graduate,No,3969,4256,177,360,1,Semiurban,N
LP10328,Male,No,2,Graduate,No,3517,1013,94,180,1,Semiurban,Y
LP10329,Male,No,0,Graduate,Yes,4641,0,124,360,1,Rural,Y
LP10330,Male,Yes,2,Graduate,No,5900,1215,188,360,1,Semiurban,Y
LP10331,Male,Yes,1,Graduate,No,4450,4512,333,180,1,Semiurban,Y
LP10332,Male,Yes,2,Graduate,No,3101,0,82,360,0,Urban,N
LP10333,Female,Yes,0,Not Graduate,No,2316,0,67,480,1,Rural,Y
LP10334,Male,Yes,1,Not Graduate,Yes,2805,0,88,180,1,Urban,Y
LP10335,Male,Yes,0,Not Graduate,Yes,6858,2535,215,360,0,Semiurban,N
LP10336,Male,No,0,Graduate,Yes,3154,1376,171,360,1,Semiurban,Y
LP10337,Male,Yes,1,Graduate,No,4426,4864,238,240,1,Semiurban,Y
LP10338,Male,No,0,Graduate,No,7039,0,237,360,1,Urban,N
LP10339,Male,Yes,0,Graduate,No,7518,0,202,360,1,Rural,N
LP10340,Male,No,2,Graduate,No,2459,2645,182,480,1,Rural,Y
LP10341,Male,No,2,Not Graduate,No,6153,3924,355,360,1,Semiurban,Y
LP10342,Male,Yes,0,Graduate,No,4869,3033,256,360,1,Semiurban,Y
LP10343,Male,No,0,Not Graduate,No,2163,1729,140,360,1,Rural,Y
LP10344,Male,No,3+,Graduate,No,2618,4195,270,360,1,Urban,Y
